ZIP,Census Tract,Total Population,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl,ghi_mean_across_years_x,ghi_mean_across_years_y
94002,6081608800.0,5471.8,-122.29140502,37.51627104000001,7.300798180041395,8.88048411497731,0.03190818,6.38456751711263,8.319164667399999,18.815183571873042,0.1373529726,39.48226509023026,301.14950074,24.253777944298722,46.904267302,47.2262129804663,0.0,0.0,188.86286520000002,33.13578394598648,1066.88197416,49.0425,9.25,45.11384845091452,43.760000000000005,56.72588411090818,0.282,38.81403044341496,0.8,9.96220075598488,0.54,15.386025200458201,29.261823518275996,3.5728628393246558,23.420037336652136,20.06,9.249750747756728,3.7439999999999998,25.183474467539117,5.708,2.7143569292123635,4.54,18.701594533029617,4.4,32.22086885911492,9.98,11.105527638190965,3.16,20.65330557001564,14.5,36.676806083650206,18.1270739591515,1.8803667480101978,7.173474533535059,206.24011245012184,206.24011245012184
94005,6081600100.0,5051.0,-122.4084093,37.6877413,28.0031618690561,54.9672213817448,0.03304924,7.51711263223398,8.564784648,24.704418170504,0.161463653,54.0012445550716,527.7371044,63.0073685525166,56.51740944,60.7813484562067,0.331393251,34.6206896551724,241.5193329,37.9594898724681,1654.010214,81.125,34.7,90.2388951101157,45.25,88.3612817532791,2.105,92.8788881535407,9.0,77.2994540109198,1.5,42.3138602520046,56.3825479431718,6.88429790463269,85.1026757934039,43.7,47.2083748753739,6.13,77.8034385424686,9.21,22.8190428713858,7.9,33.8901543912933,4.6,35.3363107321694,12.2,15.0251256281407,2.4,9.72149921915669,17.5,51.7743979721166,39.2132248424924,4.06768595098299,34.1401916288452,204.09549383834724,204.09549383834724
94010,6081605350.0,5345.0,-122.3633779375,37.5776171375,11.750642431026181,17.98411497730712,0.03419029,10.5662725575607,8.4790899065,22.842252644679526,0.178129372,51.55569383945241,423.1735987875,48.34519795179217,52.796935755,55.48834278512918,0.0,0.0,190.758540475,33.753750937734424,1032.2036386,52.4671875,2.75,21.918159761104874,27.23125,67.87315291383031,0.460625,57.64890800794178,8.25,71.33032339353214,1.86875,35.8848797250859,39.89525310479537,4.871202479727514,43.940572495332916,21.298750000000002,10.892323030907281,3.98,29.359122401847568,7.1125,8.642821535393828,3.9625,15.741268033409266,5.6,39.70598186493435,10.8125,13.544283919597989,4.5125,37.218571056741276,14.3375,36.03770595690747,22.373825577850475,2.320892921669274,11.597012102874439,222.2560226086077,222.2560226086077
94014,6081600667.111111,5493.777777777777,-122.4497089,37.69811801111111,24.206993033110855,45.55107300946939,0.03368315555555555,9.424047569660532,8.499074372,22.94959551960177,0.2359704511111111,62.44209361819815,422.8048499888889,47.34468451216296,58.727427606666666,62.76412518378491,0.14634355922222222,18.091954022988514,219.3158897222222,36.1479258703565,1019.7349104666666,48.88333333333333,9.427777777777777,32.55567998009209,10.805555555555555,44.8595199881934,0.32833333333333337,42.00308846238695,1.1111111111111112,9.972467217322324,1.4611111111111112,18.477790505281916,35.52854971272565,4.338028862911238,33.81732697227408,53.53,60.46859421734795,5.843333333333334,67.74441878367976,11.402222222222223,41.238783649052856,17.422222222222224,59.57844708793836,15.600000000000001,76.6214041894107,18.700000000000003,30.5248464544947,4.288888888888889,35.84938400138817,17.155555555555555,47.470778763554414,53.24645215802538,5.523387741071119,55.18154311649018,189.28805960873007,189.28805960873007
94015,6081601292.272727,5912.818181818182,-122.47962589999999,37.67920440909091,23.926510246110464,45.85912070783477,0.03419029,10.5662725575607,8.476736563181818,22.306952537195244,0.21969769754545457,63.982576228998134,354.58255831,33.75546396902709,56.12448324454545,59.74222374978519,0.014136451454545456,5.7178683385580005,187.04709001818182,33.22307849689695,1429.0493328272728,69.81363636363636,1.7363636363636366,12.009230038345379,18.586363636363636,61.31646868821035,0.4313636363636364,59.841164791528804,0.7272727272727273,8.77591539078309,1.309090909090909,22.969905237946485,35.8737896635461,4.3801825923316295,31.860609831985084,50.17454545454545,55.898214447566396,6.370909090909091,76.53206429187954,12.521818181818183,49.4493791353213,9.454545454545455,39.51588780745956,12.918181818181818,70.50898756136273,17.863636363636363,27.819780721790764,5.11,41.27928162415408,17.2,44.3968199101279,52.63052320265392,5.459495889058653,54.13629487003161,170.88203650365057,170.88203650365057
94019,6081613501.5,5930.0,-122.4474699,37.5302652,12.363457030821555,18.8918305597579,0.03304924,7.51711263223398,8.011445503500001,13.5096453018046,0.022095512,7.9464841319228405,421.3951679,47.776945172973655,33.98761724,29.47069943289225,609.385728945,83.1206896551724,151.17699815,29.457364341085253,1137.8785937,53.356249999999996,0.0,0.0,4.9,22.58010957994355,0.4,40.74784910655195,2.5,28.1184376312474,5.0,45.52119129438715,31.810771729815748,3.884088909657745,26.627255756067196,47.325,52.0127118644068,4.234999999999999,33.480882730305346,10.935,36.53414755732801,10.350000000000001,35.23158694001517,3.0,23.4605494654216,13.65,18.668341708542698,3.0,17.1134825611661,12.25,24.55640050697085,32.11008546550195,3.330859526537825,23.291729702471002,197.04085631363156,197.04085631363156
94022,6085510921.0,4334.6,-122.12242854000002,37.38020816,4.2253719837040915,1.9566313666162387,0.036613636,14.1381456129434,7.9816430164,13.535780958307402,0.1211511776,41.640323584318615,379.1280504,39.67528412638942,32.967448434,27.89413988657846,0.44499538980000003,17.21379310344828,296.15033568,40.14753688422106,1097.78128342,60.157500000000006,11.67,56.50989175065322,19.32,54.039515191764906,0.314,50.620780939775,2.8,31.045779084418342,0.0,0.0,34.01460647745796,4.1531766945986055,27.35034225264468,8.586,0.4162512462612161,3.2380000000000004,14.32127277392867,5.093999999999999,1.293619142572283,1.8800000000000001,6.25917489243229,3.78,29.62511841927188,6.28,3.62814070351759,3.3600000000000003,22.568974492451837,8.860000000000001,10.481622306717359,9.928160275232804,1.02987291233722,1.1951588502269304,217.38192171835232,217.38192171835232
94024,6085510301.0,4325.166666666667,-122.08672155,37.35833351666667,6.5542071786582135,6.13968734241049,0.03778414333333333,16.15847334577887,7.957329810666667,12.995229205559,0.12053710383333334,42.128189172370845,317.00066991666665,27.428083760043318,43.88090485166666,42.84604074774208,0.0,0.0,482.3759392833333,48.68717179294824,871.8783595,44.00416666666666,4.875,29.317531417195468,23.474999999999998,69.31484863578505,0.35000000000000003,51.6810059563203,4.5,47.50104997900045,0.0,0.0,32.7082419568125,3.9936698461101234,24.13814561294338,9.005,0.7519109338650716,4.735,46.64271661962192,6.18,4.781488866733142,2.0500000000000003,7.061503416856488,4.166666666666667,31.059683313032895,4.716666666666667,1.869765494137355,3.1166666666666667,18.980999479437813,8.466666666666667,11.324461343472748,15.725660708063755,1.631262141510993,4.708774583963691,205.6820067649547,205.6820067649547
94025,6081612430.2,4242.4,-122.18281721999999,37.4546047,11.276389223380779,16.514120020171458,0.03419029,10.5662725575607,8.0709966916,14.465463596764149,0.1969991281,57.04418170504046,392.29216539,42.42787560884226,58.545778899000005,61.68872085696281,13.922515712900003,15.272413793103448,127.7728663,26.577894473618397,1201.85354284,50.879999999999995,14.16,46.121687196715186,28.935000000000002,61.61713431844597,1.365,85.51819986763732,2.1,23.21083578328431,1.165,24.932416953035524,39.33692015726557,4.8030301377354325,41.27193528313628,26.988999999999997,20.04985044865404,3.896,27.245316910443933,6.9079999999999995,7.39157527417747,6.25,18.17767653758542,4.99,27.254026255244277,14.76,20.938442211055275,3.4299999999999997,24.98828735033837,14.969999999999999,37.68821292775666,22.0191216337439,2.284098593837376,12.464699949571353,202.14891945221245,202.14891945221245
94027,6081611450.0,3584.0,-122.19986399999999,37.45692115,4.777314511009475,2.7042360060514348,0.03419029,10.5662725575607,7.958801364999999,12.90603609209705,0.12531991,44.6048537647791,388.48186885,42.97489696515545,44.29040705,43.3837429111531,4.9461054475,30.10344827586205,122.05849964999999,25.84396099024755,577.02578625,26.6375,23.875,84.163867114595,28.0,77.69384027893075,0.6275,75.5526141628061,0.0,0.0,3.0,62.9324169530355,39.7745751970291,4.856467731159425,42.3584318606098,11.55,1.31480558325025,2.355,4.1634590710803145,4.59,0.498504486540379,1.65,4.486206023791445,1.5,11.8825280822845,6.35,4.767587939698494,4.75,41.2220197813639,10.3,21.673003802281382,9.399262753087145,0.9750090487049099,0.876197680282399,201.11883004491935,201.11883004491935
94028,6081613200.0,7148.0,-122.2158436,37.3697092,5.13996726224334,3.26525466464952,0.03521715,11.5619166148102,7.591907005,10.1929060360921,0.014592409,5.40136901057872,446.7620543,53.690520794305,39.69204731,36.7233774417139,0.898085723,42.2068965517241,193.7203369,34.1085271317829,714.8397381,37.375,0.0,0.0,24.0,73.5347833305662,0.25,43.2958305757776,5.0,51.2179756404872,2.0,52.8980526918671,34.0014856143305,4.15157463981693,26.5836963285625,9.6,0.672981056829511,4.04,27.5981524249423,5.03,1.08424725822532,3.7,14.7810680840294,2.2,17.2553796183516,5.3,1.88442211055276,3.2,19.5861530452889,10.7,16.9201520912548,11.9352809516139,1.2380765632748,1.72718103883006,211.28153365356368,211.28153365356368
94030,6081604650.0,3770.8333333333335,-122.40366318333334,37.599275983333335,13.665917721625293,21.913346780971597,0.03419029,10.5662725575607,8.449868437666666,21.785936527691366,0.14120547133333333,38.8384152665422,330.3158362166667,30.823029848882253,50.31614377166667,52.03318630539803,0.0,0.0,180.12822298333333,32.64982912394765,1305.33954385,66.75416666666666,4.575,30.536891875077753,28.825,54.29464829265592,0.49,53.750275755570264,6.0,51.5329693406132,0.0,0.0,33.795222042318535,4.126389898644269,30.255133789670197,33.06666666666667,30.061897640412084,4.991666666666666,47.46813788384225,8.395,17.323030907278167,6.933333333333334,29.48831519446553,9.75,59.16226823656788,11.75,14.3320770519263,3.0,20.451587714731918,15.283333333333333,40.065483734685266,32.158817598493115,3.33591463265383,23.535468145906886,216.29419194333482,216.29419194333485
94038,6081613600.0,6108.0,-122.4994673,37.5417779,9.38166018314982,11.3590519415028,0.03304924,7.51711263223398,8.080693547,14.5364032358432,0.080396507,30.0186683260734,418.1421263,48.1828400149869,29.82443678,23.7177063642092,292.6278546,82.7931034482759,139.0682983,27.9694923730933,502.4310977,21.0625,6.0,46.080627099664,5.0,30.8816204549228,0.0,0.0,2.0,23.8765224695506,0.0,0.0,28.0390702011688,3.42356490218056,14.0136901057872,38.38,38.6091724825523,5.31,60.0590197587888,8.98,20.8624127617149,3.7,14.7810680840294,0.0,0.0,8.3,6.73366834170854,0.9,1.14523685580427,15.7,42.2940430925222,26.4171691379158,2.74031906834142,15.2042360060514,190.08443217445355,190.08443217445355
94040,6085509682.4,4627.6,-122.0885966,37.383665560000004,13.737485962393928,22.912254160363073,0.037168086,15.14125700062228,8.0861813938,14.680771624144379,0.30504773739999996,72.81891723708773,422.91845802,48.2902460347196,46.589656082,46.8683049779458,0.0,0.0,207.52133382000002,34.75618904726182,1190.01788146,62.432500000000005,19.02,64.29637924598731,8.02,29.955171841275103,0.374,57.32627399073463,4.6,48.2444351112978,0.0,0.0,37.9038328394348,4.628050460881492,37.7224642190417,15.376000000000001,4.45912263210369,4.718,47.27482678983836,8.28,17.352941176470583,7.26,29.177423437104522,10.22,55.70442549736092,18.5,28.643216080402006,2.8600000000000003,18.526808953669956,12.3,26.316856780735105,27.35135484132936,2.837224489322432,19.09228441754916,205.6820067649547,205.6820067649547
94041,6085509476.25,4929.0,-122.0764669,37.3873123,12.685597851759944,20.054841149773058,0.0371680875,15.0591163658992,8.1462257105,15.47915370255135,0.45063439125000004,86.57436216552583,428.497003725,49.51292618958408,38.023633537500004,34.9149338374291,0.0,0.0,177.20483525,32.30495123780945,1541.1749795,76.68125,18.8875,74.40742814483018,20.3125,60.63423543084843,0.525,68.78888153540703,4.5,47.50104997900045,0.0,0.0,42.632664130905674,5.20543982228542,50.351586807716224,15.219999999999999,4.181206380857425,4.7125,44.652938157557074,6.654999999999999,6.4525174476570175,5.6499999999999995,22.01341432548721,4.775,33.0660441196373,17.3,27.22675879396985,3.925,27.928162415408636,13.4,30.4467680608365,23.282558435879224,2.415158055298235,12.667044881492705,201.8587866903596,201.8587866903596
94043,6085508641.25,3883.125,-122.0811358,37.409310024999996,16.210163856290073,28.10608925869894,0.0364621775,13.84878655880525,8.271134776875,17.677349097697576,0.4410392175,85.93808338518978,460.41284078750004,54.122954914449835,33.46399671875,29.511657214870837,0.0,0.0,150.1604579375,29.238559639909987,1916.9053611125,78.39375,56.206250000000004,96.44223590892125,83.94375,89.66461896065084,0.65625,66.37491727332892,5.625,51.989710205795916,0.4375,8.336197021764026,46.581440358941,5.6875846153857,60.82607342874924,19.13375,8.186378364905284,5.071428571428571,45.94376626709192,8.48125,17.15166999002991,7.55,30.220197418375093,8.7875,52.81837867099744,14.675,21.49497487437186,3.4125,24.089016137428423,13.0125,30.361216730038013,27.118284975038087,2.8130475687932326,17.457766011094304,206.8579527083176,206.8579527083176
94044,6081603050.0,4873.0,-122.4833090875,37.622900625,10.454662507429125,14.473020675743815,0.03419029,10.5662725575607,8.33356579975,19.265712507778463,0.08146573424999999,27.607342874922214,268.8406517375,16.476208317721987,48.223411145,49.23597983616886,0.0075003385,4.487068965517253,154.7520666375,29.823080770192526,856.3502944375,47.465625,1.875,15.628499440089575,7.5,33.235098787979396,0.15437499999999998,25.256452680344143,0.75,8.814573708525824,1.95,34.140893470790374,24.88230877500376,3.0381249590712636,9.794648413192297,47.27,51.986228813559315,5.2125,55.323004875545294,9.01125,22.104000498504487,4.35,17.780308782586673,3.0875000000000004,22.445527134930302,10.75,12.218907035175876,3.6625,29.05062467464861,14.325,35.10297845373891,33.228706972709574,3.4468969350297973,25.102433182047413,202.4962773083996,202.4962773083996
94060,6081613800.0,3944.0,-122.3140903,37.2768483,10.5243567836217,14.1956631366616,0.03510866,10.6036092097075,7.085121609,7.15619166148102,0.004848445,2.11574362165526,782.3835826,87.4734607218684,46.6808643,46.7548834278513,125.1540803,78.4827586206897,40.8148664,16.7166791697924,99.08833434,1.1125,10.0,61.384845091452,16.0,61.5474016270961,0.1,16.6379880873594,7.0,66.7366652666947,11.5,93.241695303551,40.8378918944973,4.9862984887144,45.22713130056,19.05,7.87637088733799,3.91,24.5701821914293,5.93,3.25274177467597,8.8,37.2817008352316,0.5,1.81350656381107,16.6,25.9798994974874,2.0,6.29880270692348,22.6,72.5982256020279,20.347095996122,2.11065518990525,8.23247604639435,200.66199734633653,200.66199734633653
94061,6081611000.0,5631.428571428572,-122.23183435714286,37.46414528571428,12.964395229945813,21.262877314314544,0.034027282857142856,10.130678282514026,8.066319650142857,14.315939194595087,0.139130464,43.23406525024448,427.3772743857143,48.69667612267839,61.275489821428565,66.41461877756774,0.0,0.0,112.84795742857143,24.802629228735757,763.2688796285713,37.36607142857143,6.971428571428571,29.648589559003888,23.635714285714283,59.837290386850434,0.22,34.89647348019285,0.0,0.0,0.1285714285714286,5.917198494518085,29.100026651779928,3.5531074740630872,19.39372388656769,38.35,38.70531263352798,4.32,35.76744015543091,7.621428571428572,11.632958268052983,11.728571428571428,39.87055718263009,8.528571428571428,39.72314057575933,22.014285714285712,34.921033740129204,2.6999999999999997,14.84717780917677,16.614285714285714,42.85533224696724,31.572675998301573,3.275112697542334,24.20574886535552,201.11883004491935,201.11883004491935
94062,6081611400.0,4733.428571428572,-122.27497454285715,37.459656100000004,5.815693434185497,5.948778906418839,0.03304924,7.51711263223398,7.987621481714286,13.487421104098143,0.05879615871428572,20.481820606276106,425.73466665714284,47.349640493139916,48.50925371142857,49.47700063011972,31.354902116857144,19.51231527093597,123.75855872857143,26.111885114135685,738.8652276,37.92321428571428,1.8571428571428572,12.288700474590728,13.514285714285714,32.66525936291833,0.2307142857142857,35.07043585137564,1.0,11.2527749445011,1.4285714285714286,13.006054655539186,25.440582530649472,3.106290073746053,12.459774202151303,21.554285714285715,11.850163794331285,3.9899999999999998,31.190659481652553,5.95,3.464606181455633,4.985714285714286,19.20128719673138,2.3714285714285714,17.400382808421803,10.557142857142859,12.110552763819095,2.857142857142857,16.600356956942072,11.357142857142858,22.315770414629746,16.513739923627643,1.7130115708498737,6.435055111303227,217.69640969426104,217.69640969426104
94063,6081610313.625,4560.0,-122.2149049375,37.4867016,35.126450169925235,66.81480080685829,0.03361976375,9.281269446173011,8.023437473,13.820784069695074,0.324905216625,73.78033602986932,414.1276425625,45.98944673410767,70.309510465,76.0775047258979,0.0,0.0,120.9032497375,25.734558639659912,1639.374580025,69.6484375,53.65625,83.95390070921984,99.16875,88.92785987049645,2.2199999999999998,87.99470549305096,1.125,9.662431751364975,5.31875,61.97308132875143,48.361826705642464,5.904969434680976,65.68606098319852,62.91875,69.82178464606181,5.47875,61.47677700795484,10.33625,32.532091226321036,25.8875,70.13414325487216,14.75,65.64318581675464,34.9125,60.30778894472361,3.7125,27.729698073919838,25.775,76.5557667934094,57.34216710175759,5.948246502439739,61.359051941502784,215.60871119616064,215.60871119616064
